"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5451","Создание рецепта","tests","2026-05-29","passed","2026-05-29","TestRecipeCreation","test_recipe","",""
"","16775","Переход на главную страницу и отображение кнопки «Выход»","tests","2026-05-29","passed","2026-05-29","TestLogin","test_login","",""
"","2446","Создание аккаунта","tests","2026-05-29","passed","2026-05-29","TestRegistration","test_registration","",""
